movie_title,director
The Pacifier,Adam Shankman
Prom,Ryan Murphy
Un indien dans la ville,
Annapolis,Justin Lin
The Country Bears,
Planes: Fire and Rescue,
Tin Men,Barry Levinson
Renaissance Man,Penny Marshall
Playing God,
Phenomenon,
Gnomeo and Juliet,Kelly Asbury
The Color of Money,Martin Scorsese
Blackbeard's Ghost,Robert Stevenson
Ernest Scared Stupid,
The Emperor's New Groove,Mark Dindal
Double Take,George Gallo
Rocket Man,Dexter Fletcher
Mulan,Niki Caro
Song of the South,
The Black Hole,gary nelson
Raising Helen,Garry Marshall
A Gun in Betty Lou's Handbag,Allan Moyle
The Air Up There,Paul Michael Glaser
Roommates,
Morning Light,
Valiant,directors.php
Down and Out in Beverly Hills,Paul Mazursky
Tarzan,
The Royal Tenenbaums,
James and the Giant Peach,Henry Selick
"Mystery, Alaska",Jay Roach
Last Dance,
My Science Project,Jonathan Betuel
Homeward Bound II: Lost in San Franc…,David R. Ellis
The Muppets,James Bobin
Turner & Hooch,Roger Spottiswoode
Oceans,
It's Pat,Adam Bernstein
The Finest Hours,Craig Gillespie
Shoot to Kill,Roger Spottiswoode
Hannah Montana the Movie,Peter Chelsom
First Kid,David Mickey Evans
Consenting Adults,Alan J. Pakula
Dan in Real Life,Peter Hedges
Sorority Boys,Wallace Wolodarsky
Simon Birch,Mark Steven Johnson
In the Army Now,Daniel Petrie Jr.
Bad Company,Joel Schumacher
Wreck-It Ralph,Rich Moore
Iron Man 3,Shane Black
Cinderella,Kay Cannon
One Magic Christmas,phillip borsos
Beverly Hills Chihuahua,Raja Gosnell
WALL-E,Andrew Stanton
Aladdin,Guy Ritchie
Casanova,
Thor: The Dark World,Alan Taylor
Monkey Kingdom,
Ernest Saves Christmas,
Hannah Montana/Miley Cyrus: Best of B…,
Saving Mr. Banks,John Lee Hancock
The Aristocats,
Calendar Girls,Nigel Cole
Unstrung Heroes,Diane Keaton
Three Fugitives,Francis Veber
Tomorrowland,Brad Bird
The Village,M. Night Shyamalan
"Alexander and the Terrible, Horrible,…",Miguel Arteta
Arachnophobia,Frank Marshall
Lincoln,
The Horse Whisperer,Robert Redford
Muppets Most Wanted,James Bobin
Fantasia 2000 (IMAX),
Spaced Invaders,Patrick Read Johnson
Just Visiting,
Holes,Andrew Davis
The Last Shot,Jeff Nathanson
The Jungle Book,Jon Favreau
Meet the Robinsons,Stephen Anderson
Dead Poets Society,Peter Weir
Avengers: Age of Ultron,Joss Whedon
Man of the House,Stephen Herek
Bears,
Passed Away,
ESPN's Ultimate X - The Movie,Bruce Hendricks
Atlantis: The Lost Empire,
Ernest Goes to Camp,
Teacher's Pet: The Movie,
Spy Hard,Rick Friedberg
Snow Dogs,Brian Levant
Frankenweenie,Tim Burton
Tuck Everlasting,
Hauru no ugoku shiro,Hayao Miyazaki
Gedo Senki (Tales from Earthsea),Goro Miyazaki
Return to Oz,Walter Murch
Disney's A Christmas Carol,Robert Zemeckis
Prefontaine,Steve James
Beaches,Garry Marshall
101 Dalmatians,Stephen Herek
The Last Song,Julie Anne Robinson
Father Hood,Paul Weitz
Encino Man,Les Mayfield
Sweet Home Alabama,Andy Tennant
Play it to the Bone,Ron Shelton
The Odd Life of Timothy Green,Peter Hedges
Honey I Blew Up the Kid,Randal Kleiser
Hercules,
